seed,fold,cell,method,human_worker_rows,matched_rows,unmatched_rows,matched_overall_exact,decision_rate_all_human_rows,review_or_unmatched_rate,human_unsafe_denominator,unsafe_auto_safe_errors,unsafe_auto_safe_rate,unsafe_composite_errors,unsafe_composite_rate,human_safe_to_unsafe,human_unsafe_to_safe,human_review_to_safe,human_review_to_unsafe
3,0,r10_s3_f0,hungarian_iou,216,184,32,0.6086956521739131,0.7083333333333334,0.2916666666666667,130,39,0.3,48,0.36923076923076925,4,39,6,7
3,0,r10_s3_f0,global_pooling,216,184,32,0.15217391304347827,0.0,1.0,130,0,0.0,9,0.06923076923076923,0,0,0,0
3,1,r10_s3_f1,proposed_lexicographic,196,155,41,0.5419354838709678,0.5714285714285714,0.42857142857142855,85,29,0.3411764705882353,38,0.4470588235294118,2,29,7,5
3,1,r10_s3_f1,max_iou,196,155,41,0.5419354838709678,0.5663265306122449,0.4336734693877551,85,28,0.32941176470588235,37,0.43529411764705883,2,28,7,5
3,1,r10_s3_f1,center_inside,196,155,41,0.5419354838709678,0.5816326530612245,0.41836734693877553,85,29,0.3411764705882353,38,0.4470588235294118,2,29,8,5
3,1,r10_s3_f1,hungarian_iou,196,155,41,0.5419354838709678,0.5714285714285714,0.42857142857142855,85,29,0.3411764705882353,38,0.4470588235294118,2,29,7,5
3,1,r10_s3_f1,global_pooling,196,155,41,0.4645161290322581,0.6122448979591837,0.3877551020408163,85,38,0.4470588235294118,47,0.5529411764705883,1,38,14,4
3,2,r10_s3_f2,proposed_lexicographic,274,223,51,0.5246636771300448,0.6094890510948905,0.3905109489051095,127,56,0.4409448818897638,71,0.5590551181102362,5,56,13,8
3,2,r10_s3_f2,max_iou,274,223,51,0.5246636771300448,0.6094890510948905,0.3905109489051095,127,56,0.4409448818897638,71,0.5590551181102362,5,56,13,8
3,2,r10_s3_f2,center_inside,274,223,51,0.5201793721973094,0.6094890510948905,0.3905109489051095,127,55,0.4330708661417323,70,0.5511811023622047,5,55,14,8
3,2,r10_s3_f2,hungarian_iou,274,223,51,0.5246636771300448,0.6131386861313869,0.38686131386861317,127,57,0.44881889763779526,72,0.5669291338582677,5,57,13,8
3,2,r10_s3_f2,global_pooling,274,223,51,0.4170403587443946,0.7883211678832117,0.2116788321167883,127,72,0.5669291338582677,87,0.6850393700787402,10,72,42,5
4,0,r10_s4_f0,proposed_lexicographic,216,178,38,0.6292134831460674,0.6435185185185185,0.35648148148148145,130,34,0.26153846153846155,44,0.3384615384615385,1,34,8,0
4,0,r10_s4_f0,max_iou,216,178,38,0.6235955056179775,0.6388888888888888,0.3611111111111111,130,34,0.26153846153846155,44,0.3384615384615385,1,34,8,0
4,0,r10_s4_f0,center_inside,216,178,38,0.6348314606741573,0.6435185185185185,0.35648148148148145,130,33,0.25384615384615383,43,0.33076923076923076,1,33,7,1
4,0,r10_s4_f0,hungarian_iou,216,178,38,0.6235955056179775,0.6388888888888888,0.3611111111111111,130,34,0.26153846153846155,44,0.3384615384615385,1,34,8,0
4,0,r10_s4_f0,global_pooling,216,178,38,0.1348314606741573,0.0,1.0,130,0,0.0,10,0.07692307692307693,0,0,0,0
4,1,r10_s4_f1,proposed_lexicographic,196,163,33,0.5705521472392638,0.5561224489795918,0.44387755102040816,85,27,0.3176470588235294,36,0.4235294117647059,1,27,8,2
4,1,r10_s4_f1,max_iou,196,163,33,0.5644171779141104,0.5510204081632653,0.4489795918367347,85,27,0.3176470588235294,36,0.4235294117647059,1,27,8,2
4,1,r10_s4_f1,center_inside,196,163,33,0.5766871165644172,0.5561224489795918,0.44387755102040816,85,26,0.3058823529411765,35,0.4117647058823529,1,26,8,2
4,1,r10_s4_f1,hungarian_iou,196,163,33,0.5705521472392638,0.5561224489795918,0.44387755102040816,85,27,0.3176470588235294,36,0.4235294117647059,1,27,8,2
4,1,r10_s4_f1,global_pooling,196,163,33,0.19631901840490798,0.0,1.0,85,0,0.0,9,0.10588235294117647,0,0,0,0
4,2,r10_s4_f2,proposed_lexicographic,274,222,52,0.5540540540540541,0.551094890510949,0.4489051094890511,127,43,0.33858267716535434,58,0.4566929133858268,7,43,9,6
4,2,r10_s4_f2,max_iou,274,222,52,0.5540540540540541,0.551094890510949,0.4489051094890511,127,43,0.33858267716535434,58,0.4566929133858268,7,43,9,6
4,2,r10_s4_f2,center_inside,274,222,52,0.5585585585585585,0.5583941605839416,0.4416058394160584,127,44,0.3464566929133858,59,0.4645669291338583,7,44,9,6
4,2,r10_s4_f2,hungarian_iou,274,222,52,0.5585585585585585,0.5547445255474452,0.44525547445255476,127,43,0.33858267716535434,58,0.4566929133858268,7,43,9,6
4,2,r10_s4_f2,global_pooling,274,222,52,0.4144144144144144,0.7664233576642335,0.23357664233576642,127,59,0.4645669291338583,74,0.5826771653543307,23,59,28,16
