seed,fold,cell,method,source_group,rows,matched,unmatched,matched_exact,unsafe_n,unsafe_auto_safe_errors,unsafe_composite_errors,fallback_cells
4,2,r10_s4_f2,proposed_lexicographic,10_tunnel,73,65,8,0.6,27,14,19,0
4,2,r10_s4_f2,proposed_lexicographic,3_tunnel,66,48,18,0.4583333333333333,34,14,18,0
4,2,r10_s4_f2,proposed_lexicographic,4_tunnel,69,52,17,0.46153846153846156,27,11,15,0
4,2,r10_s4_f2,proposed_lexicographic,7_tunnel,66,57,9,0.6666666666666666,39,4,6,0
4,2,r10_s4_f2,max_iou,10_tunnel,73,65,8,0.6,27,14,19,0
4,2,r10_s4_f2,max_iou,3_tunnel,66,48,18,0.4583333333333333,34,14,18,0
4,2,r10_s4_f2,max_iou,4_tunnel,69,52,17,0.46153846153846156,27,11,15,0
4,2,r10_s4_f2,max_iou,7_tunnel,66,57,9,0.6666666666666666,39,4,6,0
4,2,r10_s4_f2,center_inside,10_tunnel,73,65,8,0.6,27,14,19,0
4,2,r10_s4_f2,center_inside,3_tunnel,66,48,18,0.4791666666666667,34,14,18,0
4,2,r10_s4_f2,center_inside,4_tunnel,69,52,17,0.46153846153846156,27,11,15,0
4,2,r10_s4_f2,center_inside,7_tunnel,66,57,9,0.6666666666666666,39,5,7,0
4,2,r10_s4_f2,hungarian_iou,10_tunnel,73,65,8,0.6,27,14,19,0
4,2,r10_s4_f2,hungarian_iou,3_tunnel,66,48,18,0.4583333333333333,34,14,18,0
4,2,r10_s4_f2,hungarian_iou,4_tunnel,69,52,17,0.4807692307692308,27,11,15,0
4,2,r10_s4_f2,hungarian_iou,7_tunnel,66,57,9,0.6666666666666666,39,4,6,0
4,2,r10_s4_f2,global_pooling,10_tunnel,73,65,8,0.5076923076923077,27,14,19,0
4,2,r10_s4_f2,global_pooling,3_tunnel,66,48,18,0.3333333333333333,34,22,26,0
4,2,r10_s4_f2,global_pooling,4_tunnel,69,52,17,0.17307692307692307,27,20,24,0
4,2,r10_s4_f2,global_pooling,7_tunnel,66,57,9,0.5964912280701754,39,3,5,0
